Assessment_ID,Intake_Proficiency_Score,Intake_Applications_Score,Outcome_Proficiency_Score,Outcome_Applications_Score
P74000,0.135,0.137,0.269,0.238
S60239,0.591,0.526,0.797,0.765
D99137,0.425,0.277,0.856,0.628
A80585,0.564,0.545,0.758,0.718
P11265,0.344,0.219,0.82,0.885
X53446,0.455,0.318,0.741,0.627
A39800,0.195,0.187,0.398,0.326
P83653,0.522,0.431,0.759,0.721
D67647,0.412,0.393,0.715,0.713
D96651,0.155,0.215,0.274,0.366
S38831,0.328,0.238,0.863,0.74
A97984,0.226,0.23,0.666,0.797
P28554,0.128,0.18,0.375,0.435
X70512,0.248,0.244,0.462,0.457
P43477,0.718,0.647,0.795,0.877
D89530,0.624,0.481,0.86,0.654
X23898,0.346,0.24,0.887,0.821
P13821,0.289,0.236,0.866,0.807
A33428,0.117,0.196,0.686,0.628
S28479,0.573,0.405,0.818,0.663
D23117,0.297,0.209,0.766,0.634
S85700,0.298,0.198,0.739,0.729
P97377,0.567,0.545,0.808,0.795
D81438,0.712,0.694,0.853,0.852
D43979,0.219,0.254,0.749,0.87
D52984,0.265,0.291,0.703,0.836
S86442,0.273,0.145,0.47,0.498
X54327,0.227,0.208,0.608,0.398
A28021,0.481,0.35,0.767,0.548
X93913,0.474,0.388,0.708,0.641
A76182,0.22,0.233,0.986,0.972
A34141,0.736,0.536,0.794,0.728
P62671,0.166,0.201,0.341,0.312
A68965,0.239,0.235,0.52,0.366
D71240,0.177,0.125,0.386,0.459
D65502,0.679,0.502,0.836,0.66
S40296,0.156,0.224,0.592,0.559
A10647,0.659,0.487,0.833,0.677
X21321,0.292,0.211,0.864,0.77
A35742,0.669,0.54,0.782,0.683
S96746,0.47,0.328,0.765,0.657
P21627,0.289,0.327,0.771,0.635
A37443,0.592,0.617,0.74,0.693
S44198,0.918,0.816,0.966,0.9
P56213,0.313,0.159,0.515,0.495
S90629,0.771,0.676,0.885,0.812
S97973,0.647,0.567,0.732,0.77
A63020,0.512,0.323,0.787,0.834
