Enrollment_ID,Employee_ID,Date,Course,Assessment_ID,Status,Sys
104-849,128371,2019-12-28,104,P74000,,X
102-553,128371,2020-03-09,102,S60239,PPE,
991-754,128371,2020-06-01,991,D99137,,
902-1217,128371,2020-10-23,902,A80585,,
991-1031,128656,2020-10-02,991,P11265,PPD,
101-2930,128753,2022-01-27,101,X53446,EXT,
103-647,128856,2022-02-09,103,A39800,EXT,X
101-1575,128881,2020-07-14,101,P83653,,X
104-1889,128881,2020-11-28,104,D67647,,
104-164,128895,2019-05-04,104,D96651,,X
991-189,128895,2019-08-29,991,S38831,EXT,
991-71,128896,2019-06-11,991,A97984,,
104-993,128896,2020-02-21,104,P28554,,
104-1314,128995,2020-06-04,104,X70512,,
102-1052,128995,2021-01-17,102,P43477,,
902-597,129013,2019-12-19,902,D89530,PPE,
991-657,129013,2020-04-22,991,X23898,,
991-1889,129062,2022-11-19,991,P13821,,A
103-1100,129062,2023-01-04,103,A33428,PPD,
101-2360,129288,2021-05-05,101,S28479,,
992-198,129288,2021-08-21,992,D23117,EXT,A
991-94,129294,2019-06-29,991,S85700,,
102-126,129362,2019-05-15,102,P97377,,
101-1215,129362,2020-03-25,101,D81438,EXT,
105-321,129417,2021-09-24,105,D43979,,X
991-1615,129417,2022-03-04,991,D52984,DNL,
103-824,129461,2022-06-18,103,S86442,DNL,
904-1139,129461,2022-12-03,904,X54327,,
101-1417,129527,2020-05-29,101,A28021,EXT,
104-1710,129527,2020-10-07,104,X93913,,
105-85,129527,2021-03-02,105,A76182,EXT,
102-481,129594,2020-01-23,102,A34141,EXT,
104-1355,129594,2020-06-22,104,P62671,,
904-958,129627,2022-08-08,904,A68965,PPD,
104-2656,129772,2022-03-12,104,D71240,PPD,
902-1826,129866,2022-01-25,902,D65502,,
104-2880,129866,2022-08-07,104,S40296,DNL,
102-296,129917,2019-09-29,102,A10647,,
991-604,129917,2020-03-27,991,X21321,EXT,
102-249,129931,2019-08-28,102,A35742,,
101-3546,129970,2022-10-22,101,S96746,DNL,
104-3169,129970,2023-04-06,104,P21627,,
102-468,130082,2020-01-16,102,A37443,,
101-1749,130082,2020-09-15,101,S44198,PPE,
904-880,130112,2022-06-21,904,P56213,,A
101-3620,130112,2022-12-12,101,S90629,,
902-94,130148,2019-03-08,902,S97973,,
101-2420,130301,2021-06-05,101,A63020,,X
904-489,130301,2021-10-03,904,D11030,,
104-2730,130301,2022-05-02,104,A57078,,
101-2832,130307,2021-12-09,101,A83184,,A
103-822,130307,2022-06-15,103,X87558,EXT,
902-1429,130531,2021-03-10,902,D51923,EXT,
904-408,130531,2021-08-12,904,A66418,,
105-315,130582,2021-09-21,105,D57882,,A
104-2569,130582,2022-01-08,104,X55176,EXT,
991-1779,130582,2022-08-05,991,D86761,PPD,
904-1211,130582,2023-02-27,904,D39068,PPE,
104-1148,130709,2020-04-08,104,X74995,,
902-1052,130709,2020-08-07,902,S34210,PPD,
991-1238,130709,2021-01-22,991,S18087,EXT,
991-52,130776,2019-05-17,991,D62496,,
104-658,130776,2019-11-01,104,S70415,,
101-2136,130811,2021-02-06,101,A50648,,
101-1790,130948,2020-10-03,101,P79898,PPD,
103-379,131113,2021-08-25,103,S17604,EXT,
101-2038,131149,2020-12-21,101,D26606,PPE,A
902-605,131323,2019-12-26,902,D81919,,A
102-548,131323,2020-03-03,102,P82891,PPD,A
102-807,131324,2020-08-23,102,D34543,,A
902-555,131479,2019-11-30,902,X93744,,A
101-797,131517,2019-10-25,101,S52317,DNL,
991-614,131517,2020-04-01,991,D46830,,
104-2190,131792,2021-05-29,104,S65899,,X
105-429,131792,2021-12-30,105,D97889,,X
102-175,131863,2019-06-28,102,X48120,,X
104-927,131863,2020-01-26,104,X27822,PPD,
901-1538,131879,2022-05-26,901,A44315,PPD,
904-1121,131879,2022-11-22,904,A26963,,
902-967,131927,2020-06-20,902,S11457,,
103-37,131927,2021-01-27,103,D19953,PPD,
992-111,131927,2021-05-25,992,X39640,,
102-695,132060,2020-06-11,102,P66279,PPD,
101-2032,132060,2020-12-20,101,A13172,,X
103-215,132060,2021-05-23,103,X96321,,
902-2228,132065,2022-11-27,902,X69786,,X
101-1898,132086,2020-11-03,101,S24065,PPE,
992-84,132086,2021-04-20,992,A98906,,A
101-353,132102,2019-05-29,101,A82108,,
104-494,132102,2019-09-12,104,P30049,,
902-188,132156,2019-05-02,902,P79348,DNL,
991-404,132156,2019-12-23,991,A48445,,
101-3535,132199,2022-10-19,101,P61814,PPD,
102-847,132335,2020-09-17,102,P98136,,
991-1281,132335,2021-03-13,991,P89563,DNL,
104-2236,132335,2021-06-26,104,S67434,,
101-2016,132403,2020-12-13,101,X77578,,
904-89,132403,2021-02-19,904,X37170,,
103-300,132403,2021-07-09,103,P11873,,
104-513,132435,2019-09-16,104,D70432,PPE,X
902-582,132435,2019-12-09,902,P97967,,
101-1892,132497,2020-11-02,101,D99977,DNL,
102-855,132551,2020-09-23,102,P28457,,
904-125,132551,2021-03-07,904,S89988,PPD,
104-1465,132648,2020-07-25,104,S86676,,
105-93,132737,2021-03-08,105,X82271,,
992-127,132737,2021-06-10,992,P59968,,
902-1511,132817,2021-05-03,902,S47537,,
101-2498,132817,2021-07-21,101,P42937,,
105-294,132853,2021-09-06,105,P36643,,
104-2604,132853,2022-02-06,104,S33879,DNL,
101-1432,132885,2020-06-04,101,X31296,DNL,
991-1203,132885,2020-12-25,991,D81652,,
102-1738,132967,2022-08-12,102,X95705,,
991-1923,132967,2022-12-28,991,P93055,,
901-1709,132976,2022-10-14,901,X78783,,A
992-668,132976,2023-03-31,992,A52733,PPE,
902-2294,132976,2023-12-06,902,P27236,,
104-1600,133027,2020-09-01,104,X82423,EXT,
103-30,133027,2021-01-21,103,D76395,PPE,
904-268,133027,2021-05-26,904,A41633,PPE,
101-2430,133151,2021-06-10,101,A37914,,
104-76,133173,2019-03-10,104,X30108,,
101-704,133173,2019-09-25,101,X22763,,
101-3016,133184,2022-03-13,101,A15889,DNL,
103-1035,133184,2022-11-08,103,P90742,PPE,
904-1252,133184,2023-04-16,904,A72032,,
102-1835,133195,2022-10-28,102,X57662,,
102-1379,133213,2021-10-20,102,A29527,,
104-2700,133213,2022-04-08,104,D63135,,
102-70,133334,2019-03-21,102,X90852,,
104-273,133334,2019-06-20,104,P17346,,
991-811,133351,2020-06-26,991,P62187,,
902-361,133372,2019-08-21,902,X21568,,
104-951,133372,2020-02-05,104,P47042,,
101-2167,133455,2021-02-20,101,S51100,,
101-1378,133478,2020-05-17,101,P53666,EXT,
104-2785,133496,2022-06-04,104,X68146,,
103-1102,133496,2023-01-05,103,X51172,PPE,
101-820,133612,2019-11-01,101,P75589,DNL,
902-2218,133718,2022-11-19,902,D72447,,
904-1218,133718,2023-03-10,904,P13137,DNL,
105-984,133718,2023-09-25,105,S13827,DNL,
901-108,133886,2019-04-20,901,S62838,,
104-378,133886,2019-08-03,104,S79335,,
102-1084,134144,2021-02-10,102,S77579,DNL,A
991-1708,134198,2022-06-03,991,D96342,PPD,X
104-2933,134198,2022-09-09,104,A11587,EXT,
101-1516,134255,2020-06-27,101,D69831,PPE,
102-988,134255,2020-12-12,102,D55536,,
104-2155,134255,2021-05-04,104,S35785,,
102-1246,134271,2021-06-24,102,X15413,PPE,
101-2687,134271,2021-10-11,101,A51019,,
904-618,134506,2022-01-01,904,P96140,EXT,
103-914,134506,2022-08-16,103,X54176,,
105-764,134506,2022-10-21,105,D91036,DNL,
901-1598,134734,2022-07-11,901,D34829,PPD,
991-1919,134734,2022-12-21,991,A25015,PPD,
992-694,134734,2023-08-01,992,S76191,EXT,
902-501,134783,2019-11-01,902,D18709,EXT,
103-481,134898,2021-10-31,103,S31884,,
104-440,134916,2019-08-26,104,D83807,PPD,A
102-560,134916,2020-03-12,102,X49401,,
902-2130,134962,2022-09-09,902,S12932,DNL,
901-916,135023,2020-11-15,901,S90680,,
