Office_ID,Regional_Center_ID,Office_Name,Address_Line1,City,State_Province,Postal_Code,Country,Phone_Number,Email_Address,Office_Manager,Opening_Date,Time_Zone,Latitude,Longitude
1,101,Miami Local,79 Trade Ave,Miami,FL,33101,USA,1-305-555-1234,miami.office@nls.com,Anu Prabhakar,3/15/2010,Eastern Time,25.7617,-80.1918
2,101,Baltimore Local,4 Harborfront Dr,Baltimore,MD,21201,USA,1-410-555-2345,baltimore.office@nls.com,Robert Chen,6/20/2012,Eastern Time,39.2904,-76.6122
3,101,New York Local,500 5th Ave,New York,NY,10001,USA,1-212-555-7890,ny.office@nls.com,John Doe,2/10/2010,Eastern Time,40.7128,-74.006
4,102,Seattle Local,2884 Fordham St,Seattle,WA,98101,USA,1-206-555-3456,seattle.office@nls.com,Linda Park,11/5/2008,Pacific Time,47.6062,-122.3321
5,102,San Francisco Local,101 Pino Verde Dr,San Francisco,CA,94101,USA,1-415-555-4567,sf.office@nls.com,Donna Fox,9/1/2009,Pacific Time,37.7749,-122.4194
6,102,Los Angeles Local,2888 Sunset Blvd,Los Angeles,CA,90001,USA,1-323-555-7891,la.office@nls.com,Jane Smith,5/15/2011,Pacific Time,34.0522,-118.2437
7,103,Montreal Local,1820 Rue de Commerce,Montreal,QC,H3B 1A2,Canada,1-514-555-5678,montreal.office@nls.com,Sophie Tremblay,4/10/2011,Eastern Time,45.5017,-73.5673
8,103,Detroit Local,46 Auto Rd,Detroit,MI,48201,USA,1-313-555-6789,detroit.office@nls.com,Marcus Williams,7/25/2013,Eastern Time,42.3314,-83.0458
9,103,Toronto Local,77 King St W,Toronto,ON,M5X 1C7,Canada,1-416-555-7892,toronto.office@nls.com,Richard Lee,6/20/2012,Eastern Time,43.651,-79.347
10,104,Houston Local,88 Madelline Ln,Houston,TX,77001,USA,1-713-555-7890,houston.office@nls.com,Patricia Ramirez,10/10/2014,Central Time,29.7604,-95.3698
